symbol	zacks	value	growth	momtum	vgm	industry	date
DLR	4	D	C	F	D	REIT and Equity Trust - Other	2022-10-23
DLTH	TimeoutError()
DLTR	4	C	D	C	D	Retail - Discount Stores	2022-10-23
DM	3	F	F	F	F	Manufacturing - Print	2022-10-23
DMAC	3	D	B	B	C	Medical - Biomedical and Genetics	2022-10-23
DMTK	2	F	F	B	F	Medical Services	2022-10-23
DMXF	TimeoutError()
DNA	3	F	D	D	F	Medical - Biomedical and Genetics	2022-10-23
DNAY	3	F	C	C	D	Medical - Instruments	2022-10-23
DNB	4	B	D	B	C	Business - Information Services	2022-10-23
DNL	TimeoutError()
DNLI	3	F	D	A	D	Medical - Biomedical and Genetics	2022-10-23
DNMR	2	F	F	D	F	Industrial Services	2022-10-23
DNN	3	F	F	F	F	Mining - Miscellaneous	2022-10-23
DNOW	2	C	D	B	C	Oil and Gas - Mechanical and and Equipment	2022-10-23
DNUT	4	D	D	D	F	Consumer Products - Staples	2022-10-23
DOC	4	D	B	A	C	REIT and Equity Trust - Other	2022-10-23
DOCN	3	D	C	C	D	Internet - Software	2022-10-23
DOCS	3	D	C	C	D	Medical Services	2022-10-23
DOCU	3	C	A	B	B	Technology Services	2022-10-23
DOLE	5	B	B	D	B	Agriculture - Operations	2022-10-23
DOMA	3	C	B	C	B	Technology Services	2022-10-23
DOMO	TimeoutError()
DON	TimeoutError()
DOOO	3	A	A	B	A	Automotive - Original Equipment	2022-10-23
DOOR	5	B	B	A	A	Building Products - Wood	2022-10-23
DORM	2	B	D	B	C	Automotive - Replacement Parts	2022-10-23
DOV	3	B	C	F	C	Manufacturing - General Industrial	2022-10-23
DOW	5	A	C	D	B	Chemical - Diversified	2022-10-23
DOX	TimeoutError()
DOYU	2	B	C	C	C	Gaming	2022-10-23
DPZ	4	D	A	F	C	Retail - Restaurants	2022-10-23
DQ	1	A	B	A	A	Chemical - Specialty	2022-10-23
DRD	TimeoutError()
DRE	None	None	None	None	None	None	2022-10-23
DRH	3	C	A	B	B	REIT and Equity Trust - Other	2022-10-23
DRI	3	B	B	D	B	Retail - Restaurants	2022-10-23
DRMA	3	D	B	B	C	Medical - Biomedical and Genetics	2022-10-23
DRQ	3	F	D	C	F	Oil and Gas - Mechanical and and Equipment	2022-10-23
DRRX	3	F	D	C	F	Medical - Drugs	2022-10-23
DRTT	None	None	None	None	None	None	2022-10-23
DRVN	2	C	B	B	B	Automotive - Original Equipment	2022-10-23
DSEY	4	C	A	D	B	Chemical - Specialty	2022-10-23
DSGN	3	F	F	D	F	Medical - Biomedical and Genetics	2022-10-23
DSGX	3	D	B	B	C	Computer - Software	2022-10-23
DSI	TimeoutError()
DSKE	TimeoutError()
DSP	3	D	D	D	F	Technology Services	2022-10-23
DSX	3	A	A	D	A	Transportation - Shipping	2022-10-23
DT	3	D	A	D	C	Computers - IT Services	2022-10-23
DTC	3	A	A	B	A	Internet - Commerce	2022-10-23
DTD	TimeoutError()
DTE	3	B	D	B	C	Utility - Electric Power	2022-10-23
DTH	TimeoutError()
DTIL	3	F	F	D	F	Medical - Biomedical and Genetics	2022-10-23
DTM	4	D	D	A	D	Oil and Gas - Integrated - United States	2022-10-23
DTN	TimeoutError()
DUK	4	D	F	A	D	Utility - Electric Power	2022-10-23
DUOL	2	D	C	C	D	Technology Services	2022-10-23
DURA	TimeoutError()
DV	3	D	B	B	C	Internet - Software	2022-10-23
DVA	3	A	C	C	A	Medical - Outpatient and Home Healthcare	2022-10-23
DVAX	1	A	B	B	A	Medical - Biomedical and Genetics	2022-10-23
DVN	TimeoutError()
DVY	TimeoutError()
DVYA	TimeoutError()
DVYE	TimeoutError()
DWM	TimeoutError()
DX	3	B	F	B	C	REIT and Equity Trust	2022-10-23
DXC	4	A	B	F	A	Computers - IT Services	2022-10-23
DXCM	TimeoutError()
DXGE	None	None	None	None	None	None	2022-10-23
DXJ	TimeoutError()
DXJS	TimeoutError()
DXPE	4	B	C	C	B	Manufacturing - General Industrial	2022-10-23
DY	1	D	D	D	D	Building Products - Heavy Construction	2022-10-23
DYN	3	D	D	A	D	Medical - Drugs	2022-10-23
DYNT	3	D	C	A	B	Medical - Instruments	2022-10-23
DZSI	3	C	F	D	F	Communication - Infrastructure	2022-10-23
E	3	A	A	C	A	Oil and Gas - Integrated - International	2022-10-23
EA	4	D	C	F	D	Toys - Games - Hobbies	2022-10-23
EAF	None	None	None	None	None	None	2022-10-23
EAR	3	D	F	B	F	Medical - Instruments	2022-10-23
EARN	TimeoutError()
EASG	TimeoutError()
EAT	TimeoutError()
EB	4	D	A	C	B	Internet - Services	2022-10-23
EBAY	3	B	C	D	B	Internet - Commerce	2022-10-23
EBC	2	D	F	B	D	Banks - Northeast	2022-10-23
EBMT	2	A	C	D	B	Banks - Midwest	2022-10-23
EBR	4	B	D	A	B	Utility - Electric Power	2022-10-23
EBS	3	A	D	B	B	Medical - Biomedical and Genetics	2022-10-23
EC	3	A	A	A	A	Oil and Gas - Integrated - Emerging Markets	2022-10-23
ECH	TimeoutError()
ECL	3	D	C	D	D	Chemical - Specialty	2022-10-23
ECNS	TimeoutError()
ECOL	None	None	None	None	None	None	2022-10-23
ECOM	3	C	D	B	D	Internet - Software and Services	2022-10-23
ECON	TimeoutError()
ECPG	3	A	F	B	B	Financial - Consumer Loans	2022-10-23
ECVT	2	B	B	D	B	Technology Services	2022-10-23
ED	3	C	B	A	A	Utility - Electric Power	2022-10-23
EDAP	2	D	C	F	D	Medical - Instruments	2022-10-23
EDEN	TimeoutError()
EDIT	2	F	D	C	F	Medical - Biomedical and Genetics	2022-10-23
EDIV	None	None	None	None	None	None	2022-10-23
EDN	3	A	A	B	A	Utility - Electric Power	2022-10-23
EDOG	TimeoutError()
EDOW	TimeoutError()
EDR	3	C	D	F	F	Media Conglomerates	2022-10-23
EDRY	None	None	None	None	None	None	2022-10-23
EDU	3	C	D	C	D	Schools	2022-10-23
EDV	TimeoutError()
EEFT	3	B	A	F	A	Financial - Miscellaneous Services	2022-10-23
EELV	TimeoutError()
EEM	TimeoutError()
EEMA	TimeoutError()
EEMO	TimeoutError()
EEMS	TimeoutError()
EEMV	TimeoutError()
EEMX	TimeoutError()
EES	TimeoutError()
EFA	TimeoutError()
EFAD	TimeoutError()
EFAS	TimeoutError()
EFAV	None	None	None	None	None	None	2022-10-23
EFAX	TimeoutError()
EFC	TimeoutError()
EFG	TimeoutError()
EFIV	TimeoutError()
EFNL	TimeoutError()
EFOI	3	F	D	C	F	Building Products - Lighting	2022-10-23
EFSC	2	B	C	C	C	Banks - Midwest	2022-10-23
EFTR	TimeoutError()
EFV	TimeoutError()
EFX	5	D	C	B	D	Financial Transaction Services	2022-10-23
EGAN	1	D	C	D	D	Internet - Software	2022-10-23
EGBN	TimeoutError()
EGHT	3	C	A	F	B	Internet - Software	2022-10-23
EGLE	TimeoutError()
EGLX	3	D	A	C	C	Gaming	2022-10-23
EGO	TimeoutError()
EGP	3	D	D	A	D	REIT and Equity Trust - Other	2022-10-23
EGPT	None	None	None	None	None	None	2022-10-23
EGRX	2	B	B	C	A	Medical - Products	2022-10-23
EGY	3	A	A	B	A	Oil and Gas - Exploration and Production - International	2022-10-23
EH	None	None	None	None	None	None	2022-10-23
EHC	3	A	B	C	A	Medical - Outpatient and Home Healthcare	2022-10-23
EHTH	3	F	F	B	F	Insurance - Brokerage	2022-10-23
EIDO	TimeoutError()
EIG	3	B	C	C	B	Insurance - Accident and Health	2022-10-23
EIGR	3	F	D	A	D	Medical - Biomedical and Genetics	2022-10-23
EIRL	TimeoutError()
EIS	TimeoutError()
EIX	3	C	F	A	D	Utility - Electric Power	2022-10-23
EKSO	TimeoutError()
EL	3	D	A	D	C	Cosmetics	2022-10-23
ELA	TimeoutError()
ELAN	3	A	A	F	A	Medical - Outpatient and Home Healthcare	2022-10-23
ELDN	3	D	D	A	D	Medical - Biomedical and Genetics	2022-10-23
ELEV	TimeoutError()
ELF	1	F	A	D	C	Cosmetics	2022-10-23
ELMD	None	None	None	None	None	None	2022-10-23
ELMS	None	None	None	None	None	None	2022-10-23
ELOX	TimeoutError()
ELP	4	A	F	D	D	Utility - Electric Power	2022-10-23
ELS	4	F	B	C	D	REIT and Equity Trust - Residential	2022-10-23
ELY	None	None	None	None	None	None	2022-10-23
ELYM	TimeoutError()
EMAN	3	F	C	C	D	Electronics - Semiconductors	2022-10-23
EMBK	3	D	F	C	F	Automotive - Original Equipment	2022-10-23
EMCR	TimeoutError()
EMDV	TimeoutError()
EME	3	B	B	B	A	Building Products - Heavy Construction	2022-10-23
EMFM	TimeoutError()
EMGF	TimeoutError()
EMKR	3	B	C	D	C	Electronics - Manufacturing Machinery	2022-10-23
EMN	TimeoutError()
EMQQ	None	None	None	None	None	None	2022-10-23
EMR	3	B	C	B	B	Manufacturing - Electronics	2022-10-23
EMSG	TimeoutError()
EMX	3	D	C	F	F	Mining - Miscellaneous	2022-10-23
EMXF	TimeoutError()
ENB	3	C	C	F	D	Oil and Gas - Production and Pipelines	2022-10-23
ENDP	None	None	None	None	None	None	2022-10-23
ENFN	3	F	A	D	C	Internet - Software	2022-10-23
ENJY	None	None	None	None	None	None	2022-10-23
ENLC	2	B	A	A	A	Oil and Gas - Refining and Marketing	2022-10-23
ENLV	2	D	F	F	F	Medical - Drugs	2022-10-23
ENOR	TimeoutError()
ENPH	2	D	A	F	C	Solar	2022-10-23
ENR	3	B	F	F	D	Consumer Products - Staples	2022-10-23
ENS	3	B	F	B	D	Manufacturing - Electronics	2022-10-23
ENSG	3	B	B	C	B	Medical - Nursing Homes	2022-10-23
ENTA	3	D	F	A	F	Medical - Drugs	2022-10-23
ENTG	4	D	D	C	D	Electronics - Manufacturing Machinery	2022-10-23
ENTX	2	F	F	B	F	Medical - Biomedical and Genetics	2022-10-23
ENV	5	D	B	C	C	Financial Transaction Services	2022-10-23
ENVA	1	A	C	C	A	Financial - Consumer Loans	2022-10-23
ENVB	TimeoutError()
ENVX	3	F	D	D	F	Alternative Energy - Other	2022-10-23
ENZL	TimeoutError()
EOG	3	B	B	F	C	Oil and Gas - Exploration and Production - United States	2022-10-23
EOLS	3	D	A	D	C	Medical - Products	2022-10-23
EOSE	3	F	F	F	F	Industrial Services	2022-10-23
EPAC	1	D	A	D	B	Manufacturing - Tools & Related Products	2022-10-23
EPAM	2	D	C	F	D	Computers - IT Services	2022-10-23
EPAY	None	None	None	None	None	None	2022-10-23
EPC	4	B	B	C	A	Consumer Products - Staples	2022-10-23
EPD	3	A	B	F	B	Oil and Gas - Production Pipeline - MLB	2022-10-23
EPHE	TimeoutError()
EPI	TimeoutError()
EPM	2	B	A	F	A	Oil and Gas - Exploration and Production - United States	2022-10-23
EPOL	TimeoutError()
EPP	TimeoutError()
EPR	3	B	C	B	B	REIT and Equity Trust - Retail	2022-10-23
EPRT	4	D	B	B	C	REIT and Equity Trust - Retail	2022-10-23
EPS	TimeoutError()
EPU	TimeoutError()
EPZM	None	None	None	None	None	None	2022-10-23
EQ	2	F	C	A	D	Medical - Biomedical and Genetics	2022-10-23
EQAL	None	None	None	None	None	None	2022-10-23
EQBK	1	B	D	A	C	Banks - Northeast	2022-10-23
EQC	2	F	D	B	D	REIT and Equity Trust - Other	2022-10-23
EQH	4	B	D	F	D	Financial - Miscellaneous Services	2022-10-23
EQIX	3	D	B	F	D	REIT and Equity Trust - Retail	2022-10-23
EQL	TimeoutError()
EQNR	1	A	A	B	A	Oil and Gas - Refining and Marketing	2022-10-23
EQOS	3	F	B	F	F	Technology Services	2022-10-23
EQR	3	D	D	A	D	REIT and Equity Trust - Residential	2022-10-23
EQT	2	B	B	A	A	Oil and Gas - Exploration and Production - United States	2022-10-23
EQWL	TimeoutError()
EQX	5	C	F	F	F	Mining - Gold	2022-10-23
ERAS	3	D	B	B	C	Medical - Biomedical and Genetics	2022-10-23
ERF	TimeoutError()
ERIC	3	A	C	C	B	Wireless Equipment	2022-10-23
ERIE	3	D	B	B	C	Insurance - Brokerage	2022-10-23
ERII	TimeoutError()
ERJ	2	A	B	F	A	Aerospace - Defense	2022-10-23
ERO	2	B	D	D	C	Mining - Non Ferrous	2022-10-23
ERUS	TimeoutError()
ERYP	2	F	F	A	F	Medical - Biomedical and Genetics	2022-10-23
ES	3	C	D	A	D	Utility - Electric Power	2022-10-23
ESCR	TimeoutError()
ESE	TimeoutError()
ESEA	TimeoutError()
ESG	TimeoutError()
ESGD	TimeoutError()
ESGE	TimeoutError()
ESGG	TimeoutError()
ESGU	TimeoutError()
ESGV	TimeoutError()
ESHY	TimeoutError()
ESI	4	C	B	D	C	Chemical - Specialty	2022-10-23
ESLT	3	B	C	B	B	Aerospace - Defense Equipment	2022-10-23
ESML	TimeoutError()
ESMT	3	F	B	B	C	Internet - Software	2022-10-23
ESNT	3	A	D	F	D	Financial - Mortgage & Related Services	2022-10-23
ESPR	3	F	B	D	D	Medical - Drugs	2022-10-23
ESQ	3	C	D	B	C	Banks - Northeast	2022-10-23
ESRT	3	B	D	A	B	REIT and Equity Trust - Other	2022-10-23
ESS	3	D	C	A	C	REIT and Equity Trust - Residential	2022-10-23
ESSA	3	B	D	F	D	Financial - Savings and Loan	2022-10-23
ESTA	3	D	B	B	C	Medical Services	2022-10-23
ESTC	3	D	B	D	D	Technology Services	2022-10-23
ESTE	2	B	A	F	A	Oil and Gas - Exploration and Production - United States	2022-10-23
ET	2	A	B	A	A	Oil and Gas - Production Pipeline - MLB	2022-10-23
ETD	3	A	A	B	A	Retail - Home Furnishings	2022-10-23
ETHO	None	None	None	None	None	None	2022-10-23
ETN	3	C	C	B	C	Manufacturing - Electronics	2022-10-23
ETNB	2	F	D	D	F	Medical - Biomedical and Genetics	2022-10-23
ETON	TimeoutError()
ETR	3	C	D	F	D	Utility - Electric Power	2022-10-23
ETRN	TimeoutError()
ETSY	4	D	B	C	C	Internet - Services	2022-10-23
ETTX	None	None	None	None	None	None	2022-10-23
ETWO	4	D	C	A	C	Internet - Software	2022-10-23
EUDG	TimeoutError()
EUDV	TimeoutError()
EUFN	TimeoutError()
EURN	3	F	D	C	F	Transportation - Shipping	2022-10-23
EURZ	TimeoutError()
EUSA	TimeoutError()
EUSC	TimeoutError()
EVA	3	D	B	A	C	Building Products - Wood	2022-10-23
EVAX	3	D	D	C	F	Medical - Biomedical and Genetics	2022-10-23
EVBG	1	F	D	C	F	Internet - Software	2022-10-23
EVBN	1	B	F	A	C	Banks - Northeast	2022-10-23
EVC	None	None	None	None	None	None	2022-10-23
EVCM	3	C	D	A	B	Internet - Software	2022-10-23
EVER	2	D	C	A	C	Insurance - Multi line	2022-10-23
EVGN	4	F	F	D	F	Medical - Biomedical and Genetics	2022-10-23
EVGO	5	F	D	F	F	Automotive - Original Equipment	2022-10-23
EVH	2	D	C	B	C	Internet - Software	2022-10-23
EVLO	TimeoutError()
EVLV	3	F	D	F	F	Computers - IT Services	2022-10-23
EVO	3	B	A	F	B	Medical - Drugs	2022-10-23
EVOP	3	C	B	C	B	Financial Transaction Services	2022-10-23
EVR	3	A	A	A	A	Financial - Investment Bank	2022-10-23
EVRG	2	C	D	B	D	Oil and Gas - Production and Pipelines	2022-10-23
EVRI	3	A	B	C	A	Business - Services	2022-10-23
EVTC	TimeoutError()
EVX	TimeoutError()
EW	TimeoutError()
EWA	TimeoutError()
EWBC	3	B	C	A	B	Banks - West	2022-10-23
EWC	TimeoutError()
EWCO	TimeoutError()
EWCZ	2	D	C	A	C	Cosmetics	2022-10-23
EWD	TimeoutError()
EWEB	TimeoutError()
EWG	TimeoutError()
EWGS	TimeoutError()
EWH	TimeoutError()
EWI	TimeoutError()
EWJ	TimeoutError()
EWJE	TimeoutError()
EWJV	TimeoutError()
EWK	TimeoutError()
EWL	TimeoutError()
EWM	TimeoutError()
EWMC	TimeoutError()
EWN	TimeoutError()
EWO	TimeoutError()
EWP	None	None	None	None	None	None	2022-10-23
EWQ	None	None	None	None	None	None	2022-10-23
EWRE	TimeoutError()
EWS	TimeoutError()
EWSC	TimeoutError()
EWT	TimeoutError()
EWTX	3	C	F	B	D	Medical - Biomedical and Genetics	2022-10-23
EWU	TimeoutError()
EWUS	None	None	None	None	None	None	2022-10-23
EWW	None	None	None	None	None	None	2022-10-23
EWX	TimeoutError()
EWY	TimeoutError()
EWZ	TimeoutError()
EWZS	TimeoutError()
EXAI	4	F	F	D	F	Medical - Drugs	2022-10-23
EXAS	4	D	C	A	C	Medical - Biomedical and Genetics	2022-10-23
EXC	3	B	D	A	B	Utility - Electric Power	2022-10-23
EXEL	TimeoutError()
EXFY	4	D	A	D	C	Financial Transaction Services	2022-10-23
EXK	TimeoutError()
EXLS	4	D	A	C	B	Outsourcing	2022-10-23
EXN	3	C	A	F	B	Mining - Miscellaneous	2022-10-23
EXP	3	B	A	B	A	Building Products - Concrete and Aggregates	2022-10-23
EXPD	3	B	A	A	A	Transportation - Services	2022-10-23
EXPE	3	A	A	A	A	Internet - Commerce	2022-10-23
EXPI	4	B	A	C	A	Real Estate - Operations	2022-10-23
EXPO	3	D	A	A	B	Consulting Services	2022-10-23
EXPR	4	A	A	D	A	Retail - Apparel and Shoes	2022-10-23
EXR	3	D	B	B	C	REIT and Equity Trust - Other	2022-10-23
EXTN	3	A	A	A	A	Oil and Gas - Mechanical and and Equipment	2022-10-23
EXTR	2	B	A	C	A	Computer - Networking	2022-10-23
EYE	3	B	B	F	B	Medical - Products	2022-10-23
EYEN	3	F	F	A	F	Medical - Biomedical and Genetics	2022-10-23
EYPT	3	F	F	D	F	Medical - Biomedical and Genetics	2022-10-23
EZA	TimeoutError()
EZM	None	None	None	None	None	None	2022-10-23
EZPW	TimeoutError()
EZU	TimeoutError()
F	3	A	D	F	C	Automotive - Domestic	2022-10-23
FA	4	C	B	B	B	Technology Services	2022-10-23
FAB	TimeoutError()
FAD	TimeoutError()
FAF	3	A	D	F	C	Insurance - Property and Casualty	2022-10-23
FALN	TimeoutError()
FANG	3	B	A	F	B	Oil and Gas - Exploration and Production - United States	2022-10-23
FANH	4	B	F	B	D	Insurance - Brokerage	2022-10-23
FARM	3	C	A	C	B	Food - Natural Foods Products	2022-10-23
FAST	TimeoutError()
FAT	3	D	F	A	D	Retail - Restaurants	2022-10-23
FATE	3	F	F	C	F	Medical - Biomedical and Genetics	2022-10-23
FB	TimeoutError()
FBC	3	A	C	C	A	Financial - Savings and Loan	2022-10-23
FBHS	4	B	B	C	A	Retail - Home Furnishings	2022-10-23
FBIO	3	C	F	B	F	Medical - Biomedical and Genetics	2022-10-23
FBIZ	1	C	C	A	B	Banks - Midwest	2022-10-23
FBK	3	B	B	D	B	Banks - Northeast	2022-10-23
FBMS	TimeoutError()
FBNC	2	C	C	C	C	Banks - Southeast	2022-10-23
FBP	TimeoutError()
FBRX	3	D	A	F	C	Medical - Biomedical and Genetics	2022-10-23
FBT	TimeoutError()
FBZ	TimeoutError()
FC	2	B	A	D	B	Consulting Services	2022-10-23
FCA	TimeoutError()
FCBC	None	None	None	None	None	None	2022-10-23
FCCO	1	B	F	A	C	Banks - Southeast	2022-10-23
FCEL	3	F	F	F	F	Alternative Energy - Other	2022-10-23
FCF	3	C	F	A	C	Banks - Northeast	2022-10-23
FCFS	TimeoutError()
FCG	TimeoutError()
FCN	3	C	C	C	C	Consulting Services	2022-10-23
FCNCA	1	D	D	B	D	Banks - Southeast	2022-10-23
FCOM	TimeoutError()
FCPT	TimeoutError()
FCRD	3	D	F	B	F	Financial - SBIC & Commercial Industry	2022-10-23
FCX	TimeoutError()
FDD	TimeoutError()
FDIS	TimeoutError()
FDL	TimeoutError()
FDM	TimeoutError()
FDMT	3	D	F	B	D	Medical - Drugs	2022-10-23
FDN	TimeoutError()
FDS	3	C	B	D	C	Business - Information Services	2022-10-23
FDT	TimeoutError()
FDUS	TimeoutError()
FDVV	TimeoutError()
FDX	TimeoutError()
FE	2	B	C	A	B	Utility - Electric Power	2022-10-23
FELE	3	C	D	A	C	Manufacturing - Electronics	2022-10-23
FEM	TimeoutError()
FEMS	TimeoutError()
FENC	3	F	D	F	F	Medical - Drugs	2022-10-23
FENY	TimeoutError()
FEP	TimeoutError()
FERG	3	A	A	C	A	Manufacturing - General Industrial	2022-10-23
FET	None	None	None	None	None	None	2022-10-23
FEUZ	TimeoutError()
FEX	TimeoutError()
FEZ	TimeoutError()
FFBC	2	B	D	B	C	Banks - Midwest	2022-10-23
FFIC	4	C	D	A	C	Financial - Savings and Loan	2022-10-23
FFIE	TimeoutError()
FFIN	2	F	F	A	F	Banks - Southwest	2022-10-23
FFIV	1	C	D	C	D	Internet - Software	2022-10-23
FFNW	4	C	F	A	C	Banks - West	2022-10-23
FFWM	4	C	D	A	C	Banks - Southwest	2022-10-23
FGBI	4	B	D	D	D	Banks - Southeast	2022-10-23
FGD	TimeoutError()
FGEN	3	F	C	F	F	Medical - Drugs	2022-10-23
FGM	TimeoutError()
FHB	3	C	F	B	D	Banks - West	2022-10-23
FHI	3	B	B	D	B	Financial - Investment Management	2022-10-23
FHLC	TimeoutError()
FHN	3	C	C	A	B	Banks - Southwest	2022-10-23
FHTX	3	B	D	C	C	Medical - Drugs	2022-10-23
FIBK	1	D	C	D	D	Banks - Midwest	2022-10-23
FICO	3	D	A	B	B	Computers - IT Services	2022-10-23
FIDU	TimeoutError()
FIGS	2	D	B	B	C	Retail - Apparel and Shoes	2022-10-23
FINW	4	A	B	F	B	Banks - Southwest	2022-10-23
FIS	3	B	C	F	C	Financial Transaction Services	2022-10-23
FISI	1	A	D	C	B	Banks - Northeast	2022-10-23
FISV	3	B	C	F	C	Financial Transaction Services	2022-10-23
FITB	3	B	D	D	C	Banks - Major Regional	2022-10-23
FITE	TimeoutError()
FIVE	4	D	B	B	B	Retail - Miscellaneous	2022-10-23
FIVG	TimeoutError()
FIVN	TimeoutError()
FIX	3	B	C	D	C	Building Products - Air Conditioner and Heating	2022-10-23
FIXX	3	F	F	B	F	Medical - Generic Drugs	2022-10-23
FIZZ	5	F	A	B	C	Beverages - Soft drinks	2022-10-23
FJP	TimeoutError()
FKU	None	None	None	None	None	None	2022-10-23
FL	3	A	F	B	C	Retail - Apparel and Shoes	2022-10-23
FLAU	TimeoutError()
FLAX	TimeoutError()
FLBR	TimeoutError()
FLCA	TimeoutError()
FLCH	TimeoutError()
FLEE	TimeoutError()
FLEH	TimeoutError()
FLEX	TimeoutError()
FLFR	TimeoutError()
FLGB	TimeoutError()
FLGC	None	None	None	None	None	None	2022-10-23
FLGR	TimeoutError()
FLGT	3	A	D	D	B	Medical Info Systems	2022-10-23
FLHK	TimeoutError()
FLIC	TimeoutError()
FLIN	TimeoutError()
FLIY	None	None	None	None	None	None	2022-10-23
FLJH	TimeoutError()
FLJP	TimeoutError()
FLKR	TimeoutError()
FLL	3	B	B	F	B	Gaming	2022-10-23
FLLA	TimeoutError()
FLMN	None	None	None	None	None	None	2022-10-23
FLMX	TimeoutError()
FLN	TimeoutError()
FLNC	5	F	B	C	D	Alternative Energy - Other	2022-10-23
FLNT	3	B	A	C	A	Advertising and Marketing	2022-10-23
FLO	TimeoutError()
FLOW	TimeoutError()
FLQL	TimeoutError()
FLQM	TimeoutError()
FLQS	TimeoutError()
FLR	5	D	B	F	D	Engineering - R and D Services	2022-10-23
FLRU	TimeoutError()
FLS	4	C	F	D	F	Manufacturing - General Industrial	2022-10-23
FLSA	TimeoutError()
FLSW	TimeoutError()
FLT	3	B	D	D	C	Financial Transaction Services	2022-10-23
FLTW	TimeoutError()
FLUX	2	F	D	B	D	Electronics - Miscellaneous Products	2022-10-23
FLWS	3	A	B	D	A	Retail - Mail Order	2022-10-23
FLYW	4	F	F	F	F	Financial Transaction Services	2022-10-23
FLZA	TimeoutError()
FM	TimeoutError()
FMAO	2	C	D	B	C	Banks - Northeast	2022-10-23
FMAT	TimeoutError()
FMBH	3	C	F	B	D	Banks - Northeast	2022-10-23
FMBI	None	None	None	None	None	None	2022-10-23
FMC	3	C	C	C	C	Chemical - Diversified	2022-10-23
FMNB	3	B	C	D	C	Banks - Midwest	2022-10-23
FMS	TimeoutError()
FMTX	3	A	A	A	A	Medical - Biomedical and Genetics	2022-10-23
FMX	3	A	A	C	A	Beverages - Soft drinks	2022-10-23
FN	3	C	C	C	C	Electronics - Miscellaneous Components	2022-10-23
FNA	3	D	F	F	F	Medical - Instruments	2022-10-23
FNB	3	B	B	A	A	Banks - Southeast	2022-10-23
FNCH	2	F	F	C	F	Medical - Drugs	2022-10-23
FNCL	TimeoutError()
FND	3	C	D	B	D	Building Products - Wood	2022-10-23
FNDA	TimeoutError()
FNDB	TimeoutError()
FNDC	TimeoutError()
FNDE	TimeoutError()
FNDF	TimeoutError()
FNDX	TimeoutError()
FNF	5	A	C	C	B	Insurance - Property and Casualty	2022-10-23
FNGS	TimeoutError()
FNHC	None	None	None	None	None	None	2022-10-23
FNI	TimeoutError()
FNK	TimeoutError()
FNKO	4	B	F	D	D	Consumer Products - Discretionary	2022-10-23
FNV	3	D	B	F	D	Mining - Gold	2022-10-23
FNWB	1	C	F	D	D	Banks - West	2022-10-23
FNX	TimeoutError()
FNY	TimeoutError()
FOA	3	A	B	D	A	Financial - Mortgage & Related Services	2022-10-23
FOCS	3	A	A	F	A	Financial - Investment Management	2022-10-23
FOE	None	None	None	None	None	None	2022-10-23
FOLD	3	D	B	D	C	Medical - Biomedical and Genetics	2022-10-23
FOR	3	B	D	A	B	Real Estate - Development	2022-10-23
FORG	3	F	D	A	F	Internet - Software	2022-10-23
FORM	4	C	A	C	B	Electronics - Semiconductors	2022-10-23
FORR	2	B	A	C	A	Computer - Services	2022-10-23
FOUR	2	D	A	A	B	Financial Transaction Services	2022-10-23
FOXA	3	A	B	A	A	Broadcast Radio and Television	2022-10-23
FOXF	4	C	F	A	D	Automotive - Domestic	2022-10-23
FPA	TimeoutError()
FPAY	2	A	D	D	C	Financial - Miscellaneous Services	2022-10-23
FPI	3	F	D	C	F	REIT and Equity Trust - Other	2022-10-23
FPXI	TimeoutError()
FR	3	D	B	A	C	REIT and Equity Trust - Other	2022-10-23
FRBA	3	B	D	A	C	Banks - Northeast	2022-10-23
FRBK	TimeoutError()
FRC	3	C	C	F	D	Banks - West	2022-10-23
FRDM	TimeoutError()
FREE	4	B	F	A	C	Consumer Products - Staples	2022-10-23
FREL	TimeoutError()
FREQ	3	F	C	B	D	Medical - Biomedical and Genetics	2022-10-23
FREY	TimeoutError()
FRG	TimeoutError()
FRGI	None	None	None	None	None	None	2022-10-23
FRHC	None	None	None	None	None	None	2022-10-23
FRI	None	None	None	None	None	None	2022-10-23
FRLN	3	F	B	C	D	Medical - Biomedical and Genetics	2022-10-23
FRME	2	D	F	C	F	Banks - Midwest	2022-10-23
FRO	2	D	B	B	C	Transportation - Shipping	2022-10-23
FROG	3	F	B	D	D	Internet - Software	2022-10-23
FRPT	3	D	F	F	F	Food - Miscellaneous	2022-10-23
FRSH	3	F	C	F	F	Internet - Software	2022-10-23
FRST	3	C	F	B	D	Financial - Miscellaneous Services	2022-10-23
FRT	TimeoutError()
FSBC	1	D	D	A	D	Banks - West	2022-10-23
FSBW	TimeoutError()
FSFG	TimeoutError()
FSI	2	A	A	B	A	Chemical - Specialty	2022-10-23
FSK	3	C	F	B	D	Financial - SBIC & Commercial Industry	2022-10-23
FSLR	3	D	D	F	F	Solar	2022-10-23
FSLY	TimeoutError()
FSM	4	B	B	F	B	Mining - Silver	2022-10-23
FSP	3	B	F	B	D	REIT and Equity Trust - Other	2022-10-23
FSR	2	F	F	F	F	Automotive - Domestic	2022-10-23
FSS	TimeoutError()
FSTA	TimeoutError()
FSTR	2	C	F	F	F	Steel - Producers	2022-10-23
FSTX	4	F	C	F	F	Medical - Biomedical and Genetics	2022-10-23
FSV	TimeoutError()
